,Município,PIB_per_capita,População,Capag_real,Capag_predito
598,Porto Rico do Maranhão,6751,5995,1,1
599,Presidente Dutra,12362,47567,,1
600,Presidente Juscelino,6899,12629,,1
601,Presidente Médici,7013,6959,1,1
602,Presidente Sarney,6833,18764,,1
603,Presidente Vargas,6284,11124,1,1
604,Primeira Cruz,4901,15197,1,1
605,Raposa,7838,30337,,0
606,Riachão,17440,20243,0,0
607,Ribamar Fiquene,10661,7755,0,1
608,Rosário,8426,42482,0,0
609,Sambaíba,44917,5663,,1
610,Santa Filomena do Maranhão,6481,7719,,1
611,Santa Helena,6862,41770,1,1
612,Santa Inês,14593,88590,1,1
613,Santa Luzia,7867,72440,1,1
614,Santa Luzia do Paruá,8526,25134,,1
615,Santa Quitéria do Maranhão,7256,25519,,1
616,Santa Rita,7226,37404,,1
617,Santana do Maranhão,4903,13223,1,1
618,Santo Amaro do Maranhão,5062,15654,1,1
619,Santo Antônio dos Lopes,131703,14534,,0
620,São Benedito do Rio Preto,6366,18608,,1
621,São Bento,6118,44811,,1
622,São Bernardo,8975,28343,1,1
623,São Domingos do Azeitão,29569,7363,,0
624,São Domingos do Maranhão,8465,34368,,1
625,São Félix de Balsas,10135,4609,1,1
626,São Francisco do Brejão,8800,11652,0,1
627,São Francisco do Maranhão,6118,12201,,1
628,São João Batista,5962,20629,,1
629,São João do Carú,5665,15828,1,1
630,São João do Paraíso,11086,11162,1,1
631,São João do Soter,5536,18438,1,1
632,São João dos Patos,10324,25860,0,0
633,São José de Ribamar,12366,176321,0,0
634,São José dos Basílios,6611,7642,1,1
635,São Luís,30699,1094667,1,1
636,São Luís Gonzaga do Maranhão,7278,18988,1,1
637,São Mateus do Maranhão,8333,41350,,1
638,São Pedro da Água Branca,7703,12645,,1
639,São Pedro dos Crentes,11526,4651,1,1
640,São Raimundo das Mangabeiras,22251,18755,1,1
641,São Raimundo do Doca Bezerra,7194,5345,,1
642,São Roberto,6177,6649,,1
643,São Vicente Ferrer,6201,22142,1,1
644,Satubinha,5200,13730,,1
645,Senador Alexandre Costa,7340,11067,1,1
646,Senador La Rocque,10120,14367,1,1
647,Serrano do Maranhão,6751,10206,,1
